date;type;;;Holiday;Description
29/04/2024;Workday;;;;
30/04/2024;Workday;;;;
01/05/2024;Workday;;;;
02/05/2024;Workday;;;;
03/05/2024;Workday;;;;
04/05/2024;Not a Workday;;;;
05/05/2024;Not a Workday;;;;
06/05/2024;Workday;;;;
07/05/2024;Workday;;;;
08/05/2024;Workday;;;;
09/05/2024;Not a Workday;;;;
10/05/2024;Workday;;;;
11/05/2024;Not a Workday;;;;
12/05/2024;Not a Workday;;;;
13/05/2024;Workday;;;;
14/05/2024;Workday;;;;
15/05/2024;Workday;;;;
16/05/2024;Workday;;;;
17/05/2024;Workday;;;;
18/05/2024;Not a Workday;;;;
19/05/2024;Not a Workday;;;;
20/05/2024;Not a Workday;;;;
21/05/2024;Workday;;;;
22/05/2024;Workday;;;;
23/05/2024;Workday;;;;
24/05/2024;Workday;;;;
25/05/2024;Not a Workday;;;;
26/05/2024;Not a Workday;;;;
27/05/2024;Workday;;;;
28/05/2024;Workday;;;;
29/05/2024;Workday;;;;
30/05/2024;Workday;;;;
31/05/2024;Workday;;;;
01/06/2024;Not a Workday;;;;
02/06/2024;Not a Workday;;;;
03/06/2024;Workday;;;;
04/06/2024;Workday;;;;
05/06/2024;Workday;;;;
06/06/2024;Workday;;;;
07/06/2024;Workday;;;;
08/06/2024;Not a Workday;;;;
09/06/2024;Not a Workday;;;;
10/06/2024;Workday;;;;
11/06/2024;Workday;;;;
12/06/2024;Workday;;;;
13/06/2024;Workday;;;;
14/06/2024;Workday;;;;
15/06/2024;Not a Workday;;;;
16/06/2024;Not a Workday;;;;
17/06/2024;Workday;;;;
18/06/2024;Workday;;;;
19/06/2024;Workday;;;;
20/06/2024;Workday;;;;
21/06/2024;Workday;;;;
22/06/2024;Not a Workday;;;;
23/06/2024;Not a Workday;;;;
24/06/2024;Workday;;;;
25/06/2024;Workday;;;;
26/06/2024;Workday;;;;
27/06/2024;Workday;;;;
28/06/2024;Workday;;;;
29/06/2024;Not a Workday;;;;
30/06/2024;Not a Workday;;;;
01/07/2024;Workday;;;;
02/07/2024;Workday;;;;
03/07/2024;Workday;;;;
04/07/2024;Workday;;;;
05/07/2024;Workday;;;;
06/07/2024;Not a Workday;;;;
07/07/2024;Not a Workday;;;;
08/07/2024;Workday;;;;
09/07/2024;Workday;;;;
10/07/2024;Workday;;;;
11/07/2024;Workday;;;;
12/07/2024;Workday;;;;
13/07/2024;Not a Workday;;;;
14/07/2024;Not a Workday;;;;
15/07/2024;Workday;;;;
16/07/2024;Workday;;;;
17/07/2024;Workday;;;;
18/07/2024;Workday;;;;
19/07/2024;Workday;;;;
20/07/2024;Not a Workday;;;;
21/07/2024;Not a Workday;;;;
22/07/2024;Workday;;;;
23/07/2024;Workday;;;;
24/07/2024;Workday;;;;
25/07/2024;Workday;;;;
26/07/2024;Workday;;;;
27/07/2024;Not a Workday;;;;
28/07/2024;Not a Workday;;;;
29/07/2024;Workday;;;;
30/07/2024;Workday;;;;
31/07/2024;Workday;;;;
01/08/2024;Workday;;;;
02/08/2024;Workday;;;;
03/08/2024;Not a Workday;;;;
04/08/2024;Not a Workday;;;;
05/08/2024;Workday;;;;
06/08/2024;Workday;;;;
07/08/2024;Workday;;;;
08/08/2024;Workday;;;;
09/08/2024;Workday;;;;
10/08/2024;Not a Workday;;;;
11/08/2024;Not a Workday;;;;
12/08/2024;Workday;;;;
13/08/2024;Workday;;;;
14/08/2024;Workday;;;;
15/08/2024;Workday;;;;
16/08/2024;Workday;;;;
17/08/2024;Not a Workday;;;;
18/08/2024;Not a Workday;;;;
19/08/2024;Workday;;;;
20/08/2024;Workday;;;;
21/08/2024;Workday;;;;
22/08/2024;Workday;;;;
23/08/2024;Workday;;;;
24/08/2024;Not a Workday;;;;
25/08/2024;Not a Workday;;;;
26/08/2024;Workday;;;;
27/08/2024;Workday;;;;
28/08/2024;Workday;;;;
29/08/2024;Workday;;;;
30/08/2024;Workday;;;;
31/08/2024;Not a Workday;;;;
01/09/2024;Not a Workday;;;;
02/09/2024;Workday;;;;
03/09/2024;Workday;;;;
04/09/2024;Workday;;;;
05/09/2024;Workday;;;;
06/09/2024;Workday;;;;
07/09/2024;Not a Workday;;;;
08/09/2024;Not a Workday;;;;
09/09/2024;Workday;;;;
10/09/2024;Workday;;;;
11/09/2024;Workday;;;;
12/09/2024;Workday;;;;
13/09/2024;Workday;;;;
14/09/2024;Not a Workday;;;;
15/09/2024;Not a Workday;;;;
16/09/2024;Workday;;;;
17/09/2024;Workday;;;;
18/09/2024;Workday;;;;
19/09/2024;Workday;;;;
20/09/2024;Workday;;;;
21/09/2024;Not a Workday;;;;
22/09/2024;Not a Workday;;;;
23/09/2024;Workday;;;;
24/09/2024;Workday;;;;
25/09/2024;Workday;;;;
26/09/2024;Workday;;;;
27/09/2024;Workday;;;;
28/09/2024;Not a Workday;;;;
29/09/2024;Not a Workday;;;;
30/09/2024;Workday;;;;
01/10/2024;Workday;;;;
02/10/2024;Workday;;;;
03/10/2024;Workday;;;;
04/10/2024;Workday;;;;
05/10/2024;Not a Workday;;;;
06/10/2024;Not a Workday;;;;
07/10/2024;Workday;;;;
08/10/2024;Workday;;;;
09/10/2024;Workday;;;;
10/10/2024;Workday;;;;
11/10/2024;Workday;;;;
12/10/2024;Not a Workday;;;;
13/10/2024;Not a Workday;;;;
14/10/2024;Workday;;;;
15/10/2024;Workday;;;;
16/10/2024;Workday;;;;
17/10/2024;Workday;;;;
18/10/2024;Workday;;;;
19/10/2024;Not a Workday;;;;
20/10/2024;Not a Workday;;;;
21/10/2024;Workday;;;;
22/10/2024;Workday;;;;
23/10/2024;Workday;;;;
24/10/2024;Workday;;;;
25/10/2024;Workday;;;;
26/10/2024;Not a Workday;;;;
27/10/2024;Not a Workday;;;;
28/10/2024;Workday;;;;
29/10/2024;Workday;;;;
30/10/2024;Workday;;;;
31/10/2024;Workday;;;;
01/11/2024;Workday;;;;
02/11/2024;Not a Workday;;;;
03/11/2024;Not a Workday;;;;
04/11/2024;Workday;;;;
05/11/2024;Workday;;;;
06/11/2024;Workday;;;;
07/11/2024;Workday;;;;
08/11/2024;Workday;;;;
09/11/2024;Not a Workday;;;;
10/11/2024;Not a Workday;;;;
11/11/2024;Workday;;;;
12/11/2024;Workday;;;;
13/11/2024;Workday;;;;
14/11/2024;Workday;;;;
15/11/2024;Workday;;;;
16/11/2024;Not a Workday;;;;
17/11/2024;Not a Workday;;;;
18/11/2024;Workday;;;;
19/11/2024;Workday;;;;
20/11/2024;Workday;;;;
21/11/2024;Workday;;;;
22/11/2024;Workday;;;;
23/11/2024;Not a Workday;;;;
24/11/2024;Not a Workday;;;;
25/11/2024;Workday;;;;
26/11/2024;Workday;;;;
27/11/2024;Workday;;;;
28/11/2024;Workday;;;;
29/11/2024;Workday;;;;
30/11/2024;Not a Workday;;;;
01/12/2024;Not a Workday;;;;
02/12/2024;Workday;;;;
03/12/2024;Workday;;;;
04/12/2024;Workday;;;;
05/12/2024;Workday;;;;
06/12/2024;Workday;;;;
07/12/2024;Not a Workday;;;;
08/12/2024;Not a Workday;;;;
09/12/2024;Workday;;;;
10/12/2024;Workday;;;;
11/12/2024;Workday;;;;
12/12/2024;Workday;;;;
13/12/2024;Workday;;;;
14/12/2024;Not a Workday;;;;
15/12/2024;Not a Workday;;;;
16/12/2024;Workday;;;;
17/12/2024;Workday;;;;
18/12/2024;Workday;;;;
19/12/2024;Workday;;;;
20/12/2024;Workday;;;;
21/12/2024;Not a Workday;;;;
22/12/2024;Not a Workday;;;;
23/12/2024;Workday;;;;
24/12/2024;Workday;;;;
25/12/2024;Not a Workday;;;;
26/12/2024;Not a Workday;;;;
27/12/2024;Workday;;;;
28/12/2024;Not a Workday;;;;
29/12/2024;Not a Workday;;;;
30/12/2024;Workday;;;;
31/12/2024;Workday;;;;
